;650000;50;;;;;;;;;;;;;;Extraction from forest;;;;;;;;;;
Standing Biomass;;;;;;SOIL;;;;;DEADWOOD;;;;;Timber Vol (m3fub);;;;Pulpwood (m3fub);;;;Biomass (GROT + Stumps);;
Region;Per HA;Example farm;;;;;;;;;Region;Per HA;Example farm;;;Region;Per HA;Example farm;;Region;Per HA;Example farm;;Region;Per HA;Example farm
70085673;107,8241123;5391,205615;;;;56719325,84;87,26050129;4363,025065;;;605515,3591;0,931562091;46,57810455;;;302295,7496;0,465070384;23,2535192;;309259,3133;0,475783559;23,78917795;;378408,2603;0,582166554;29,108
70229639;108,0455985;5402,279923;;;;56665433,86;87,17759055;4358,879527;;;627775,633;0,965808666;48,2904333;;;302295,7496;0,465070384;23,2535192;;309259,3133;0,475783559;23,78917795;;378408,2603;0,582166554;29,108
70373606;108,2670862;5413,354308;;;;56611541,87;87,0946798;4354,73399;;;650035,9068;1,000055241;50,00276206;;;302295,7496;0,465070384;23,2535192;;309259,3133;0,475783559;23,78917795;;378408,2603;0,582166554;29,108
70517573;108,4885738;5424,428692;;;;56557649,89;87,01176906;4350,588453;;;672296,1806;1,034301816;51,71509082;;;302295,7496;0,465070384;23,2535192;;309259,3133;0,475783559;23,78917795;;378408,2603;0,582166554;29,108
70661539;108,71006;5435,503;;;;56503757,91;86,92885832;4346,442916;;;694556,4544;1,068548391;53,42741957;;;302295,7496;0,465070384;23,2535192;;309259,3133;0,475783559;23,78917795;;378408,2603;0,582166554;29,108
70805506;108,9315477;5446,577385;;;;56449865,92;86,84594758;4342,297379;;;716816,7282;1,102794967;55,13974833;;;270014,8384;0,415407444;20,77037219;;292006,9175;0,449241412;22,46207058;;358346,0615;0,551301633;27,565
71164901;109,4844631;5474,223154;;;;56426035,46;86,80928532;4340,464266;;;731641,09;1,125601677;56,28008385;;;270014,8384;0,415407444;20,77037219;;292006,9175;0,449241412;22,46207058;;358346,0615;0,551301633;27,565
71524297;110,03738;5501,869;;;;56402204,99;86,77262307;4338,631153;;;746465,4518;1,148408387;57,42041937;;;270014,8384;0,415407444;20,77037219;;292006,9175;0,449241412;22,46207058;;358346,0615;0,551301633;27,565
71883692;110,5902954;5529,514769;;;;56378374,53;86,73596081;4336,798041;;;761289,8136;1,171215098;58,56075489;;;270014,8384;0,415407444;20,77037219;;292006,9175;0,449241412;22,46207058;;358346,0615;0,551301633;27,565
72243087;111,1432108;5557,160538;;;;56354544,06;86,69929856;4334,964928;;;776114,1754;1,194021808;59,70109041;;;270014,8384;0,415407444;20,77037219;;292006,9175;0,449241412;22,46207058;;358346,0615;0,551301633;27,565
72602482;111,6961262;5584,806308;;;;56330713,6;86,6626363;4333,131815;;;790938,5371;1,216828519;60,84142593;;;249162,7814;0,383327356;19,1663678;;329885,5331;0,507516205;25,37581024;;362942,2338;0,558372667;27,919
72965676;112,2548862;5612,744308;;;;56367716,37;86,71956365;4335,978182;;;819452,5947;1,2606963;63,03481498;;;249162,7814;0,383327356;19,1663678;;329885,5331;0,507516205;25,37581024;;362942,2338;0,558372667;27,919
73328870;112,8136462;5640,682308;;;;56404719,15;86,77649099;4338,82455;;;847966,6523;1,30456408;65,22820402;;;249162,7814;0,383327356;19,1663678;;329885,5331;0,507516205;25,37581024;;362942,2338;0,558372667;27,919
73692064;113,3724062;5668,620308;;;;56441721,92;86,83341834;4341,670917;;;876480,7099;1,348431861;67,42159307;;;249162,7814;0,383327356;19,1663678;;329885,5331;0,507516205;25,37581024;;362942,2338;0,558372667;27,919
74055257;113,9311646;5696,558231;;;;56478724,69;86,89034568;4344,517284;;;904994,7675;1,392299642;69,61498211;;;249162,7814;0,383327356;19,1663678;;329885,5331;0,507516205;25,37581024;;362942,2338;0,558372667;27,919
74418451;114,4899246;5724,496231;;;;56515727,47;86,94727303;4347,363651;;;933508,8251;1,436167423;71,80837116;;;250591,6347;0,385525592;19,27627959;;308189,9358;0,474138363;23,70691814;;345913,6249;0,532174808;26,609
75275316;115,8081785;5790,408923;;;;56583640,91;87,05175524;4352,587762;;;961624,6296;1,479422507;73,97112536;;;250591,6347;0,385525592;19,27627959;;308189,9358;0,474138363;23,70691814;;345913,6249;0,532174808;26,609
76132181;117,1264323;5856,321615;;;;56651554,35;87,15623746;4357,811873;;;989740,4342;1,522677591;76,13387955;;;250591,6347;0,385525592;19,27627959;;308189,9358;0,474138363;23,70691814;;345913,6249;0,532174808;26,609
76989046;118,4446862;5922,234308;;;;56719467,79;87,26071968;4363,035984;;;1017856,239;1,565932675;78,29663375;;;250591,6347;0,385525592;19,27627959;;308189,9358;0,474138363;23,70691814;;345913,6249;0,532174808;26,609
77845911;119,76294;5988,147;;;;56787381,24;87,3652019;4368,260095;;;1045972,043;1,609187759;80,45938794;;;250591,6347;0,385525592;19,27627959;;308189,9358;0,474138363;23,70691814;;345913,6249;0,532174808;26,609
78702776;121,0811938;6054,059692;;;;56855294,68;87,46968412;4373,484206;;;1074087,848;1,652442843;82,62214214;;;269561,5752;0,414710116;20,73550578;;388576,2655;0,597809639;29,89048197;;412765,5194;0,635023876;31,751
79276694;121,9641446;6098,207231;;;;56927025,47;87,58003919;4379,001959;;;1119409,604;1,722168621;86,10843105;;;269561,5752;0,414710116;20,73550578;;388576,2655;0,597809639;29,89048197;;412765,5194;0,635023876;31,751
79850612;122,8470954;6142,354769;;;;56998756,26;87,69039425;4384,519713;;;1164731,359;1,791894399;89,59471995;;;269561,5752;0,414710116;20,73550578;;388576,2655;0,597809639;29,89048197;;412765,5194;0,635023876;31,751
80424530;123,7300462;6186,502308;;;;57070487,06;87,80074932;4390,037466;;;1210053,115;1,861620177;93,08100885;;;269561,5752;0,414710116;20,73550578;;388576,2655;0,597809639;29,89048197;;412765,5194;0,635023876;31,751
80998448;124,6129969;6230,649846;;;;57142217,85;87,91110439;4395,555219;;;1255374,871;1,931345955;96,56729776;;;269561,5752;0,414710116;20,73550578;;388576,2655;0,597809639;29,89048197;;412765,5194;0,635023876;31,751
81572366;125,4959477;6274,797385;;;;57213948,65;88,02145945;4401,072973;;;1300696,627;2,001071733;100,0535867;;;288564,8002;0,443945846;22,19729232;;302894,8246;0,465992038;23,2996019;;396812,9247;0,610481423;30,524
82559460;127,0145538;6350,727692;;;;57270933,89;88,10912906;4405,456453;;;1320878,535;2,032120824;101,6060412;;;288564,8002;0,443945846;22,19729232;;302894,8246;0,465992038;23,2996019;;396812,9247;0,610481423;30,524
83546554;128,53316;6426,658;;;;57327919,13;88,19679867;4409,839933;;;1341060,444;2,063169914;103,1584957;;;288564,8002;0,443945846;22,19729232;;302894,8246;0,465992038;23,2996019;;396812,9247;0,610481423;30,524
84533648;130,0517662;6502,588308;;;;57384904,38;88,28446827;4414,223414;;;1361242,353;2,094219004;104,7109502;;;288564,8002;0,443945846;22,19729232;;302894,8246;0,465992038;23,2996019;;396812,9247;0,610481423;30,524
85520742;131,5703723;6578,518615;;;;57441889,62;88,37213788;4418,606894;;;1381424,261;2,125268094;106,2634047;;;288564,8002;0,443945846;22,19729232;;302894,8246;0,465992038;23,2996019;;396812,9247;0,610481423;30,524
86507836;133,0889785;6654,448923;;;;57498874,87;88,45980749;4422,990374;;;1401606,17;2,156317185;107,8158592;;;356548,9129;0,548536789;27,42683945;;402932,4296;0,619896046;30,99480228;;478075,8767;0,735501349;36,775
87168273;134,1050354;6705,251769;;;;57615445,55;88,639147;4431,95735;;;1422089,041;2,187829293;109,3914647;;;356548,9129;0,548536789;27,42683945;;402932,4296;0,619896046;30,99480228;;478075,8767;0,735501349;36,775
87828709;135,1210908;6756,054538;;;;57732016,23;88,81848651;4440,924325;;;1442571,911;2,219341402;110,9670701;;;356548,9129;0,548536789;27,42683945;;402932,4296;0,619896046;30,99480228;;478075,8767;0,735501349;36,775
88489146;136,1371477;6806,857385;;;;57848586,91;88,99782602;4449,891301;;;1463054,782;2,250853511;112,5426756;;;356548,9129;0,548536789;27,42683945;;402932,4296;0,619896046;30,99480228;;478075,8767;0,735501349;36,775
89149583;137,1532046;6857,660231;;;;57965157,59;89,17716553;4458,858277;;;1483537,653;2,28236562;114,118281;;;356548,9129;0,548536789;27,42683945;;402932,4296;0,619896046;30,99480228;;478075,8767;0,735501349;36,775
89810019;138,16926;6908,463;;;;58081728,28;89,35650504;4467,825252;;;1504020,524;2,313877729;115,6938864;;;360977,8155;0,555350485;27,76752427;;510681,0956;0,785663224;39,2831612;;568576,4765;0,874733041;43,737
89871754;138,2642369;6913,211846;;;;58221555,77;89,57162426;4478,581213;;;1544427,628;2,376042504;118,8021252;;;360977,8155;0,555350485;27,76752427;;510681,0956;0,785663224;39,2831612;;568576,4765;0,874733041;43,737
89933489;138,3592138;6917,960692;;;;58361383,26;89,78674347;4489,337174;;;1584834,732;2,43820728;121,910364;;;360977,8155;0,555350485;27,76752427;;510681,0956;0,785663224;39,2831612;;568576,4765;0,874733041;43,737
89995225;138,4541923;6922,709615;;;;58501210,75;90,00186269;4500,093134;;;1625241,836;2,500372056;125,0186028;;;360977,8155;0,555350485;27,76752427;;510681,0956;0,785663224;39,2831612;;568576,4765;0,874733041;43,737
90056960;138,5491692;6927,458462;;;;58641038,24;90,2169819;4510,849095;;;1665648,94;2,562536831;128,1268416;;;360977,8155;0,555350485;27,76752427;;510681,0956;0,785663224;39,2831612;;568576,4765;0,874733041;43,737
